,EVENTO,UF,MUNICÍPIO,SITE,ROTA,DATA CRIAÇÃO,GESTOR ATUAL,PREVISÃO SOBRESSALENTE,Ação,Prazo,Status,Fabricante,Modelo,Cod_Modelo,SS,Afetação
37,328689364,BA,SALVADOR,MND,BA-CAPITAL,21/01/2025 13:00:31,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,DIPLEX FILTER HIGH,KRF102301/2,12610,
38,328914009,BA,SALVADOR,BCL,BA-CAPITAL,24/01/2025 19:05:55,O&M ACESSO VIVO_N1_BA/SE_Acesso,-,Necessário envio de documentação da icomon para abertura de novo chamado com a CCR metrô,30/04/2025,Acesso,,,,,
39,329637495,BA,SALVADOR,ACA,BA-CAPITAL,06/02/2025 11:46:16,O&M ACESSO VIVO_N1_BA/SE_Acesso,-,Impedimento de acesso a torre,30/04/2025,Acesso,,,,,
40,329863985,BA,ENTRE RIOS,MRP,BA-NORTE,10/02/2025 08:31:21,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,PENTAPLEX - 698,CM-ABDY6-OA8,12613,
41,330107204,BA,RIO REAL,RRC,BA-NORTE,14/02/2025 03:07:58,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
42,330181476,BA,IRECÊ,IAL,BA-NORTE,14/02/2025 22:59:27,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
43,330446598,BA,UBATÃ,UBT,BA-SUL,18/02/2025 05:26:04,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,SS 12669 / RRUW 02 B5,,Sobressalente,ERICSSON,RRU02B5,KRC11846/2,12669,3G
44,330464831,BA,FEIRA DE SANTANA,FSM,BA-NORTE,18/02/2025 11:15:57,O&M ACESSO VIVO_N1_BA/SE_Acesso,-,Bloqueio judicial,,Acesso,,,,,Analisar
45,330586864,BA,SALVADOR,ETS,BA-CAPITAL,19/02/2025 22:10:15,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,Analisar
46,332995114,BA,ITABUNA,1CM,BA-SUL,05/03/2025 15:13:06,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
47,333342816,BA,CAMAÇARI,VIC,BA-CAPITAL,06/03/2025 22:39:12,ICOMON_O&M-BA_SE (Terceiro),-,Tramitado Icomon,21/04/2025,Icomon Atuando,,,,,
48,333643394,BA,SENTO SÉ,SOE,BA-NORTE,08/03/2025 02:22:23,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,Analisar
49,335068819,BA,SALVADOR,MED,BA-CAPITAL,13/03/2025 11:09:32,O&M ACESSO VIVO_N1_BA/SE,-,"Setor indoor do MED desativado e gerando VSWR, necessário solicitar blqueio.",11/04/2025,Vivo Avaliar,,,,,
50,336130159,BA,SANTO ANTÔNIO DE JESUS,SBN,BA-SUL,17/03/2025 10:38:30,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,ATENDER - 2G ZERADO,,Sobressalente,ERICSSON,DTRU800,KRC1311005/2,12265,
51,337162979,BA,PORTO SEGURO,LTR,BA-SUL,21/03/2025 01:40:06,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,RRU 01 B5 SS: 12416,,Sobressalente,ERICSSON,RRU01B5,KRC11870/3,12416,
52,337710903,BA,NOVA SOURE,NOC,BA-NORTE,23/03/2025 01:26:39,O&M ACESSO VIVO_N1_BA/SE_Fatura_B,-,,,Fatura B,,,,,
53,338133098,BA,TEIXEIRA DE FREITAS,TAF,BA-SUL,24/03/2025 15:39:00,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,RRU 0840 SS 12692,,Sobressalente,ERICSSON,RRU220840,KRC161134/51,12692,
