EVENTO;UF;CN;;MUNICÍPIO;COORDENAÇÃO;SITE;DATA CRIAÇÃO;GESTOR ATUAL;PREVISÃO SOBRESSALENTE
284728540;PB;83;A+;MONTEIRO;;MER;02/12/2022 22:56:50;O&M ACESSO VIVO_N1_NE;-
285353852;RN;84;A+;SANTANA DO MATOS;;SDM;07/12/2022 02:20:59;O&M ACESSO VIVO_N1_NE;-
286274402;PI;86;A+;CAJUEIRO DA PRAIA;PARNAÍBA;CRP;13/12/2022 02:35:41;O&M ACESSO VIVO_N1_NE;-
301386762;BA;;A;SALVADOR;BA-CAPITAL;SOM;11/05/2023 21:51:48;ICOMON_O&M-BA_SE (Terceiro);-
301916672;BA;75;C;MARAGOGIPE;BA-SUL;MGP;19/05/2023 22:07:00;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
302088796;CE;88;A+;BELA CRUZ;;BCZ;22/05/2023 22:31:41;O&M ACESSO VIVO_N1_NE_Sobressalente;-
304292865;AL;82;D;SÃO LUÍS DO QUITUNDE;;LQU;14/07/2023 21:45:23;O&M ACESSO VIVO_N1_NE_Fatura_B;-
307385090;BA;;A+;JOÃO DOURADO;BA-NORTE;DRD;17/10/2023 21:29:38;O&M ACESSO VIVO_N1_BA/SE;-
312489793;BA;71;A;SALVADOR;BA-CAPITAL;TCS;29/02/2024 03:02:12;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
314647269;AL;82;C;IGREJA NOVA;;IGN;24/04/2024 23:47:46;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
314933101;CE;;B;COREAÚ;;CAQ;02/05/2024 09:53:39;ICOMON_O&M-NE (Terceiro);-
314933901;BA;;B;SÍTIO DO MATO;BA-OESTE;FBJ;02/05/2024 09:58:47;O&M ACESSO VIVO_N1_BA/SE;-
314933909;CE;;C;SABOEIRO;;SBJ;02/05/2024 09:58:49;O&M ACESSO VIVO_N1_NE_Fatura_B;-
314934677;BA;;A+;BREJOLÂNDIA;;BJA;02/05/2024 10:04:44;O&M ACESSO VIVO_N1_BA/SE;-
314948793;SE;;C;CAPELA;;SEC;02/05/2024 14:11:37;O&M ACESSO VIVO_N1_BA/SE;-
315149094;BA;;B;PILÃO ARCADO;;XPO;07/05/2024 08:51:28;ICOMON_O&M-BA_SE (Terceiro);-
315520684;BA;71;A;SALVADOR;BA-CAPITAL;CRZ;15/05/2024 21:19:47;ICOMON_O&M-BA_SE (Terceiro);-
316646294;BA;;A+;SÃO SEBASTIÃO DO PASSÉ;BA-CAPITAL;SFO;12/06/2024 09:32:16;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
317058724;BA;;A+;CAETITÉ;;FZS;22/06/2024 00:34:18;O&M ACESSO VIVO_N1_BA/SE;-
317082675;BA;77;C;LUÍS EDUARDO MAGALHÃES;BA-OESTE;LED;22/06/2024 16:53:38;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
317161228;CE;;A+;AQUIRAZ;;HAM;24/06/2024 21:37:40;O&M ACESSO VIVO_N1_NE;-
317711507;SE;79;C;PORTO DA FOLHA;;PFO;07/07/2024 05:53:22;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
317848967;SE;79;A+;ARACAJU;;NBA;10/07/2024 11:38:58;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
317930533;PE;81;D;GOIANA;;KLB;12/07/2024 05:51:32;O&M ACESSO VIVO_N1_NE_Acesso;-
318189434;PE;81;A+;RECIFE;;RMP;18/07/2024 06:44:09;O&M ACESSO VIVO_N1_NE_Campo;-
318267122;BA;74;E;VÁRZEA DA ROÇA;BA-NORTE;VDR;19/07/2024 17:36:29;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
318352835;PE;81;C;RIBEIRÃO;;ROU;22/07/2024 05:29:33;O&M ACESSO VIVO_N1_NE_Fatura_B;-
318376937;BA;71;A+;SÃO SEBASTIÃO DO PASSÉ;BA-CAPITAL;SFO;22/07/2024 16:12:41;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
318609658;BA;71;A;SALVADOR;BA-CAPITAL;PPT;26/07/2024 15:41:10;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
319211664;CE;;A+;CRATEÚS;;CRA;07/08/2024 08:49:50;ICOMON_O&M-NE (Terceiro);-
319524676;PI;89;E;ITAUEIRA;;XIA;13/08/2024 08:37:21;O&M ACESSO VIVO_N1_NE_Sobressalente;-
319644926;PE;81;A+;RECIFE;;RCE;15/08/2024 08:09:04;O&M ACESSO VIVO_N1_NE;-
319709576;SE;79;A+;ARACAJU;;ORD;16/08/2024 07:57:03;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
319827527;AL;82;;OLHO D'ÁGUA DAS FLORES;;OAF;18/08/2024 13:25:54;O&M ACESSO VIVO_N1_BA/SE;-
319985507;BA;74;A+;JUSSARA;BA-NORTE;QNA;21/08/2024 01:45:22;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
320191260;AL;82;B;PILAR;;PYC;23/08/2024 18:30:34;O&M ACESSO VIVO_N1_NE_Sobressalente;-
320191389;BA;75;C;OLINDINA;BA-NORTE;OLC;23/08/2024 18:31:45;O&M ACESSO VIVO_N1_BA/SE;-
320191663;CE;88;A+;CRATO;;MOF;23/08/2024 18:34:30;O&M ACESSO VIVO_N1_NE_Acesso;-
320191734;CE;88;C;QUIXADÁ;;QOO;23/08/2024 18:35:15;O&M ACESSO VIVO_N1_NE;-
320565437;BA;74;D;BARRO ALTO;BA-NORTE;LDB;31/08/2024 03:54:02;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
320870917;PE;81;C;SANTA CRUZ DO CAPIBARIBE;;SCK;05/09/2024 13:31:42;O&M ACESSO VIVO_N1_NE_Sobressalente;-
320917787;BA;;;CARAÍBAS;;AGL;06/09/2024 08:39:27;O&M ACESSO VIVO_N1_BA/SE;-
321106063;SE;79;C;LARANJEIRAS;;VOT;10/09/2024 01:05:10;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
321517027;BA;74;B;PILÃO ARCADO;BA-NORTE;PAO;17/09/2024 02:52:32;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
322079547;CE;;B;JAGUARIBE;;XJA;26/09/2024 07:52:52;O&M ACESSO VIVO_N1_NE_Vandalismo;-
322648311;PI;89;C;PARNAGUÁ;CURIMATÁ;PRN;04/10/2024 13:18:58;O&M ACESSO VIVO_N1_NE_Acesso;-
322774173;PI;;B;BOM JESUS;BOM JESUS;BJS;07/10/2024 08:47:30;O&M ACESSO VIVO_N1_NE;-
322775802;BA;;A+;ITAPETINGA;;FZO;07/10/2024 08:59:42;O&M ACESSO VIVO_N1_BA/SE;-
322936131;PE;81;A+;RECIFE;;AIR;09/10/2024 21:17:10;O&M ACESSO VIVO2_N1_NE;-
323019019;BA;;A+;PALMAS DE MONTE ALTO;BA-OESTE;PMA;11/10/2024 09:58:47;O&M ACESSO VIVO_N1_BA/SE;-
323380865;PI;89;E;BAIXA GRANDE DO RIBEIRO;FLORIANO;BGE;17/10/2024 20:15:59;O&M ACESSO VIVO_N1_NE;-
323610206;AL;82;A;BARRA DE SÃO MIGUEL;;BML;22/10/2024 21:49:33;O&M ACESSO VIVO_N1_NE;-
323987906;BA;71;D;MATA DE SÃO JOÃO;BA-CAPITAL;CSU;29/10/2024 14:55:34;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
324001141;PB;83;A+;JOÃO PESSOA;;PAZ;29/10/2024 20:20:03;O&M ACESSO VIVO_N1_NE_Acesso;-
324103986;BA;75;;MILAGRES;;EML;31/10/2024 14:33:36;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
324417355;BA;75;E;ESPLANADA;BA-NORTE;PLM;06/11/2024 22:56:41;ICOMON_O&M-BA_SE (Terceiro);-
324437383;BA;73;A+;ITABUNA;BA-SUL;ITT;07/11/2024 08:11:29;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
324668241;BA;;A+;PALMAS DE MONTE ALTO;BA-OESTE;PMA;11/11/2024 17:33:43;O&M ACESSO VIVO_N1_BA/SE;-
324834751;BA;77;A+;BARREIRAS;BA-OESTE;BID;14/11/2024 06:24:44;O&M ACESSO VIVO_N1_BA/SE;-
324903634;BA;71;D;CAMAÇARI;BA-CAPITAL;BQH;15/11/2024 14:50:05;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
324973274;CE;;C;REDENÇÃO;;XRD;17/11/2024 14:15:30;O&M ACESSO VIVO_N1_NE_Fatura_B;-
325118743;BA;71;D;SÃO FRANCISCO DO CONDE;;NRL;19/11/2024 21:38:14;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
325122468;AL;82;B;DOIS RIACHOS;;DOS;19/11/2024 23:57:14;O&M ACESSO VIVO_N1_NE;-
325356726;AL;;;OLHO D'ÁGUA DO CASADO;;OHD;24/11/2024 13:57:34;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
325497204;BA;73;B;PORTO SEGURO;BA-SUL;TNO;27/11/2024 03:56:06;O&M ACESSO VIVO_N1_BA/SE;-
325652601;BA;73;D;MEDEIROS NETO;BA-SUL;USM;29/11/2024 13:42:53;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
326380671;BA;74;C;PINDOBAÇU;BA-NORTE;CBX;11/12/2024 14:56:41;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
326381289;PE;81;A+;CARUARU;;CPC;11/12/2024 15:07:14;O&M ACESSO VIVO_N1_NE_Fatura_B;-
326399964;CE;88;A+;ITAPIPOCA;;BLV;11/12/2024 23:27:55;O&M ACESSO VIVO_N1_NE_Acesso;-
326410352;BA;71;D;CAMAÇARI;BA-CAPITAL;CPV;12/12/2024 03:37:45;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
326425713;CE;;A+;AQUIRAZ;;HAM;12/12/2024 10:38:07;O&M ACESSO VIVO_N1_NE;-
326478065;BA;74;B;JUAZEIRO;BA-NORTE;JCC;13/12/2024 02:05:23;O&M ACESSO VIVO_N1_BA/SE;-
326513640;AL;82;B;MACEIÓ;;MCO;13/12/2024 16:46:08;O&M ACESSO VIVO_N1_BA/SE;-
326646838;SE;79;B;ILHA DAS FLORES;;IFL;16/12/2024 12:31:44;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
326670593;CE;85;A+;FORTALEZA;;FLA;16/12/2024 21:56:22;O&M ACESSO VIVO_N1_NE_Sobressalente;-
326831358;RN;;A+;LAJES;;XLJ;19/12/2024 12:32:10;O&M ACESSO VIVO_N1_NE_Fatura_B;-
326934075;AL;82;D;PALMEIRA DOS ÍNDIOS;;PNC;21/12/2024 02:04:33;O&M ACESSO VIVO_N1_NE_Sobressalente;-
327072139;BA;71;A;SALVADOR;BA-CAPITAL;VLA;23/12/2024 18:08:37;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
327201752;SE;79;A;ITABAIANINHA;;PED;26/12/2024 09:22:09;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
327333666;BA;71;A;SALVADOR;BA-CAPITAL;OPH;28/12/2024 19:21:52;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
327820727;PB;83;A+;QUEIMADAS;;QMD;07/01/2025 00:32:31;O&M ACESSO VIVO_N1_NE_Sobressalente;-
327825538;CE;88;E;JUCÁS;;POH;07/01/2025 01:46:07;O&M ACESSO VIVO_N1_NE_Fatura_B;-
327866446;BA;;D;CANSANÇÃO;BA-NORTE;CSC;07/01/2025 19:29:51;O&M ACESSO VIVO_N1_BA/SE;-
327909269;SE;79;D;CANINDÉ DE SÃO FRANCISCO;;CFR;08/01/2025 12:43:53;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
328071773;AL;82;A+;RIO LARGO;;AIM;11/01/2025 00:09:31;O&M ACESSO VIVO_N1_BA/SE;-
328071786;AL;82;B;TRAIPU;;TRU;11/01/2025 00:09:38;O&M ACESSO VIVO_N1_NE_Sobressalente;-
328165940;PE;81;A+;RECIFE;;NUD;13/01/2025 00:33:02;O&M ACESSO VIVO_N1_NE_Sobressalente;-
328282996;CE;85;D;ITAPAJÉ;;IGE;15/01/2025 00:49:33;O&M ACESSO VIVO_N1_NE_Acesso;-
328310619;BA;71;A;SALVADOR;BA-CAPITAL;SNV;15/01/2025 13:48:07;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
328550450;AL;82;A+;SÃO JOSÉ DA LAJE;;ISJ;19/01/2025 15:57:31;O&M ACESSO VIVO_N1_BA/SE;-
328680571;BA;77;C;CÂNDIDO SALES;BA-OESTE;CSS;21/01/2025 10:32:11;ICOMON_O&M-BA_SE (Terceiro);-
328689364;BA;71;A;SALVADOR;BA-CAPITAL;MND;21/01/2025 13:00:31;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
328914009;BA;71;A;SALVADOR;BA-CAPITAL;BCL;24/01/2025 19:05:55;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
329130928;AL;82;D;MARAGOGI;;MRA;28/01/2025 17:26:28;O&M ACESSO VIVO_N1_NE;-
329208940;BA;77;A+;BARREIRAS;BA-OESTE;BID;30/01/2025 01:00:46;O&M ACESSO VIVO_N1_BA/SE;-
329605585;PB;83;A+;JOÃO PESSOA;;RDC;06/02/2025 01:15:23;O&M ACESSO VIVO_N1_NE_Acesso;-
329637495;BA;71;A;SALVADOR;;ACA;06/02/2025 11:46:16;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
329647433;PI;89;A+;BARREIRAS DO PIAUÍ;BOM JESUS;BPI;06/02/2025 14:29:30;O&M ACESSO VIVO_N1/N2_MG;-
329833346;PI;89;A+;MASSAPÊ DO PIAUÍ;PICOS;MDP;09/02/2025 15:22:02;O&M ACESSO VIVO_N1_BA/SE_Falta_AC;-
329863985;BA;75;C;ENTRE RIOS;BA-NORTE;MRP;10/02/2025 08:31:21;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
329962547;SE;79;B;ESTÂNCIA;;EPS;11/02/2025 22:59:16;O&M ACESSO VIVO_N1_BA/SE;-
330106260;AL;;D;PALMEIRA DOS ÍNDIOS;;XPI;14/02/2025 02:43:28;O&M ACESSO VIVO_N1_NE;-
330107204;BA;75;D;RIO REAL;BA-NORTE;RRC;14/02/2025 03:07:58;O&M ACESSO VIVO_N1_BA/SE;-
330181476;BA;74;C;IRECÊ;BA-NORTE;IAL;14/02/2025 22:59:27;ICOMON_O&M-BA_SE (Terceiro);-
330446598;BA;73;E;UBATÃ;BA-SUL;UBT;18/02/2025 05:26:04;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
330464831;BA;75;B;FEIRA DE SANTANA;BA-NORTE;FSM;18/02/2025 11:15:57;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
330487162;PE;81;A+;RECIFE;;RCE;18/02/2025 16:55:28;O&M ACESSO VIVO_N1_NE_Sobressalente;-
330581425;AL;82;B;MACEIÓ;;XCS;19/02/2025 20:21:34;O&M ACESSO VIVO_N1_NE_Sobressalente;-
330586864;BA;71;A;SALVADOR;BA-CAPITAL;ETS;19/02/2025 22:10:15;ICOMON_O&M-BA_SE (Terceiro);-
330593851;SE;79;A+;BARRA DOS COQUEIROS;;BCQ;20/02/2025 00:38:02;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
330681616;CE;88;B;ALTO SANTO;;ASH;21/02/2025 02:09:11;O&M ACESSO VIVO_N1_NE_Vandalismo;-
330681674;CE;88;A+;CEDRO;;LWD;21/02/2025 02:09:38;O&M ACESSO VIVO_N1_NE_Acesso;-
330740773;PB;;C;UMBUZEIRO;;XUM;21/02/2025 19:35:23;ICOMON_O&M-NE (Terceiro);-
330962266;AL;82;A+;ARAPIRACA;;PMQ;25/02/2025 04:54:08;O&M ACESSO VIVO_N1_NE;-
331000421;RN;;A+;NATAL;;SMB;25/02/2025 15:44:27;O&M ACESSO VIVO_N1_NE_Sobressalente;-
332630812;AL;82;B;OURO BRANCO;;OUB;04/03/2025 03:51:03;ICOMON_O&M-NE (Terceiro);-
332976191;SE;79;B;ITABAIANA;;RBR;05/03/2025 13:30:37;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
333342816;BA;71;D;CAMAÇARI;BA-CAPITAL;VIC;06/03/2025 22:39:12;ICOMON_O&M-BA_SE (Terceiro);-
333643394;BA;74;D;SENTO SÉ;BA-NORTE;SOE;08/03/2025 02:22:23;O&M ACESSO VIVO_N1_BA/SE;-
334620433;BA;;A;SALVADOR;BA-CAPITAL;RDA;11/03/2025 19:19:45;ICOMON_O&M-BA_SE (Terceiro);-
334872429;PE;;A+;RECIFE;;XEA;12/03/2025 17:39:46;O&M ACESSO VIVO_N1_NE_Fatura_B;-
335068819;BA;71;A;SALVADOR;BA-CAPITAL;MED;13/03/2025 11:09:32;O&M ACESSO VIVO_N1_BA/SE;-
336130159;BA;75;A;SANTO ANTÔNIO DE JESUS;BA-SUL;SBN;17/03/2025 10:38:30;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
336605065;SE;79;B;ILHA DAS FLORES;;IFL;19/03/2025 03:51:17;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
337162979;BA;73;B;PORTO SEGURO;BA-SUL;LTR;21/03/2025 01:40:06;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
337454078;SE;79;B;JAPARATUBA;;JPB;22/03/2025 01:50:47;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
337710903;BA;75;D;NOVA SOURE;BA-NORTE;NOC;23/03/2025 01:26:39;O&M ACESSO VIVO_N1_BA/SE_Fatura_B;-
338133098;BA;73;B;TEIXEIRA DE FREITAS;BA-SUL;TAF;24/03/2025 15:39:00;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
338144513;SE;79;B;ITABAIANA;;RBR;24/03/2025 16:34:13;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
338154877;PI;86;A+;TERESINA;TERESINA;TSA;24/03/2025 17:23:27;O&M ACESSO VIVO_N1_NE_Sobressalente;-
338310951;PB;83;D;BANANEIRAS;;BNS;25/03/2025 06:23:53;O&M ACESSO VIVO_N1_NE;-
338482704;BA;77;B;MORPARÁ;BA-OESTE;MPA;25/03/2025 23:17:53;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
338675182;CE;85;A+;FORTALEZA;;TIW;26/03/2025 18:12:35;O&M ACESSO VIVO_N1_NE_Sobressalente;-
338719074;AL;82;C;JAPARATINGA;;BBQ;26/03/2025 22:22:13;O&M ACESSO VIVO_N1_NE_Vandalismo;-
338846982;CE;88;C;TIANGUÁ;;TIA;27/03/2025 11:20:21;O&M ACESSO VIVO_N1_NE_Acesso;-
339042544;RN;84;A+;CEARÁ-MIRIM;;MRU;28/03/2025 06:56:54;ICOMON_O&M-NE (Terceiro);-
339137006;AL;82;A+;SÃO JOSÉ DA LAJE;;ISJ;28/03/2025 16:06:12;O&M ACESSO VIVO_N1_BA/SE;-
339453336;PI;89;D;SANTO ANTÔNIO DE LISBOA;PICOS;STL;30/03/2025 01:31:33;O&M ACESSO VIVO_N1_NE_Acesso;-
339560403;BA;75;A+;SANTO AMARO;;SNT;30/03/2025 13:07:49;O&M ACESSO VIVO_N1_BA/SE_Acesso;-
339716546;PI;86;D;LUÍS CORREIA;PARNAÍBA;CQP;31/03/2025 11:17:58;O&M ACESSO VIVO_N1_NE_Acesso;-
339763771;BA;71;B;LAURO DE FREITAS;BA-CAPITAL;IPG;31/03/2025 15:34:05;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
339831503;BA;77;B;GUANAMBI;BA-OESTE;GEB;31/03/2025 22:06:30;ICOMON_O&M-BA_SE (Terceiro);-
339881466;BA;73;E;CAMACAN;BA-SUL;CAM;01/04/2025 03:27:12;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
339926691;BA;75;D;CONCEIÇÃO DA FEIRA;BA-NORTE;CCF;01/04/2025 08:16:57;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
339991782;BA;74;A+;TAPIRAMUTÁ;BA-NORTE;VTG;01/04/2025 14:35:23;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
340050080;PI;89;C;JÚLIO BORGES;CURIMATÁ;JLB;01/04/2025 20:27:18;O&M ACESSO VIVO_N1_NE_Acesso;-
340069452;SE;79;A+;ARACAJU;;EBT;01/04/2025 22:26:01;O&M ACESSO VIVO_N1_BA/SE_FIXA;-
340097058;BA;75;C;SÃO FELIPE;BA-SUL;SFP;02/04/2025 01:20:12;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
340100821;BA;77;A+;CARINHANHA;BA-OESTE;CHC;02/04/2025 01:40:20;O&M ACESSO VIVO_N1_BA/SE_Fatura_B;-
340101134;PI;89;E;BAIXA GRANDE DO RIBEIRO;FLORIANO;BGE;02/04/2025 01:41:34;O&M ACESSO VIVO2_N1_NE;-
340550443;AL;82;A+;ARAPIRACA;;ESL;03/04/2025 21:59:19;ICOMON_O&M-NE (Terceiro);-
340609325;BA;75;C;ALAGOINHAS;BA-NORTE;AST;04/04/2025 04:23:33;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
340632610;SE;79;D;TOBIAS BARRETO;;TCD;04/04/2025 07:07:26;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
340746509;PE;87;A+;DORMENTES;;DCA;04/04/2025 18:49:35;O&M ACESSO VIVO_N1_NE_Fatura_B;-
340808909;PE;81;A+;JABOATÃO DOS GUARARAPES;;SGR;05/04/2025 02:06:00;O&M ACESSO VIVO_N1_NE_Fatura_B;-
340819883;CE;88;A+;MORADA NOVA;;MON;05/04/2025 03:21:31;O&M ACESSO VIVO_N1_NE_Sobressalente;-
341115706;AL;82;B;MACEIÓ;;CNS;06/04/2025 17:28:27;O&M ACESSO VIVO_N1_NE_Sobressalente;-
341212772;SE;79;D;SANTA LUZIA DO ITANHY;;SLY;07/04/2025 07:16:51;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341281180;AL;82;B;MACEIÓ;;SSM;07/04/2025 17:30:14;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341285218;AL;82;A+;RIO LARGO;;TPI;07/04/2025 18:02:30;O&M ACESSO VIVO_N1_BA/SE_Fatura_B;-
341338290;CE;85;D;ITAPAJÉ;;ICR;08/04/2025 01:53:53;O&M ACESSO VIVO_N1_NE_Sobressalente;-
341466799;BA;74;E;VÁRZEA DA ROÇA;BA-NORTE;VDR;08/04/2025 19:01:37;O&M ACESSO VIVO_N1_BA/SE;-
341505388;SE;;A+;ARACAJU;;GUV;09/04/2025 00:20:47;O&M ACESSO VIVO_N1_BA/SE;-
341518777;BA;75;C;AMARGOSA;BA-SUL;AMG;09/04/2025 04:52:09;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341518882;BA;71;A;SALVADOR;BA-CAPITAL;EBN;09/04/2025 04:52:25;O&M ACESSO VIVO_N1_BA/SE;-
341537001;SE;79;B;ESTÂNCIA;;BHM;09/04/2025 12:29:48;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341537327;SE;79;A+;ARACAJU;;DIA;09/04/2025 12:38:03;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341559217;BA;73;B;TEIXEIRA DE FREITAS;BA-SUL;TAF;09/04/2025 21:42:54;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341576982;PI;89;A+;DOM INOCÊNCIO;SÃO RAIMUNDO NONATO;DIN;10/04/2025 05:38:14;O&M ACESSO VIVO_N1_NE_Acesso;-
341590047;BA;75;D;PARIPIRANGA;BA-NORTE;PRP;10/04/2025 11:12:21;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341593191;PI;86;A+;PASSAGEM FRANCA DO PIAUÍ;;OTG;10/04/2025 12:13:54;O&M ACESSO VIVO_N1_NE_Acesso;-
341615436;CE;;A+;FORTALEZA;;SIF;10/04/2025 21:07:14;O&M ACESSO VIVO_N1_NE_Acesso;-
341617202;CE;88;A;SOBRAL;;SAZ;10/04/2025 21:55:27;O&M ACESSO VIVO_N1_NE;-
341617829;AL;82;D;PALMEIRA DOS ÍNDIOS;;GCR;10/04/2025 22:06:30;O&M ACESSO VIVO_N1_BA/SE_Fatura_B;-
341627880;BA;74;A+;UMBURANAS;BA-NORTE;UBS;11/04/2025 03:16:35;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341648235;BA;71;D;CAMAÇARI;BA-CAPITAL;ARB;11/04/2025 12:29:28;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341652690;PE;;A+;RECIFE;;XEM;11/04/2025 14:05:23;O&M ACESSO VIVO_N1_NE_Fatura_B;-
341655139;BA;74;C;IRECÊ;BA-NORTE;ICC;11/04/2025 14:54:16;O&M ACESSO VIVO_N1_BA/SE;-
341659585;BA;74;D;IBITITÁ;BA-NORTE;IFN;11/04/2025 16:25:47;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341660707;BA;71;A;SALVADOR;BA-CAPITAL;SNV;11/04/2025 16:51:59;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341670398;PB;83;A+;JOÃO PESSOA;;EST;11/04/2025 21:35:50;O&M ACESSO VIVO_N1_NE_Sobressalente;-
341710364;SE;79;B;ESTÂNCIA;;SRR;12/04/2025 17:01:28;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341713195;BA;75;C;EUCLIDES DA CUNHA;BA-NORTE;ECC;12/04/2025 17:18:14;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341732215;PE;81;D;GOIANA;;GFB;13/04/2025 06:21:03;O&M ACESSO VIVO_N1_NE_Acesso;-
341742144;BA;71;A;SALVADOR;BA-CAPITAL;ACN;13/04/2025 12:03:16;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341750890;PE;81;A+;RECIFE;;ORY;13/04/2025 17:00:22;O&M ACESSO VIVO_N1_NE_Fatura_B;-
341768695;RN;84;E;TOUROS;;TOV;14/04/2025 04:49:45;O&M ACESSO VIVO2_N1_NE;-
341773569;BA;71;D;CAMAÇARI;BA-CAPITAL;ITC;14/04/2025 07:27:57;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341788373;PI;86;A+;PARNAÍBA;PARNAÍBA;LHU;14/04/2025 13:07:48;O&M ACESSO VIVO_N1_NE_Acesso;-
341794029;RN;84;A+;NATAL;;SNG;14/04/2025 15:12:02;ICOMON_O&M-NE (Terceiro);-
341797577;BA;71;D;MATA DE SÃO JOÃO;BA-CAPITAL;ASA;14/04/2025 16:08:05;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341808492;AL;82;E;TEOTÔNIO VILELA;;TVR;14/04/2025 21:43:29;O&M ACESSO VIVO_N1_NE_Sobressalente;-
341810957;AL;82;C;PENEDO;;PEN;14/04/2025 23:32:38;O&M ACESSO VIVO_N1_BA/SE_Fatura_B;-
341818239;BA;71;A;SALVADOR;BA-CAPITAL;AQN;15/04/2025 04:43:05;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341832136;BA;73;B;PORTO SEGURO;;FAT;15/04/2025 10:52:19;ICOMON_O&M-BA_SE (Terceiro);-
341835256;BA;75;B;FEIRA DE SANTANA;BA-NORTE;FJC;15/04/2025 11:47:33;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341855766;BA;77;D;OLIVEIRA DOS BREJINHOS;BA-OESTE;OVB;15/04/2025 18:40:57;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
341863020;BA;75;E;SANTA TEREZINHA;BA-NORTE;STH;15/04/2025 23:29:06;O&M ACESSO VIVO_N1_BA/SE_Sobressalente;-
